
input orientation, VRS
DMU,Efficiency,Holidays Taken,DeadlinesMissed,Experience(yrs),number of EOM,EOY(points),DeadlinesMet,TaskAssigned,EOM points (agg),Manager Score,TaskCompleted,VRS
99.000000,0.076421,0.342943,0.657057,0.000000,0.058354,0.000000,0.000000,0.073474,0.000000,0.017910,0.000000,-0.073316
100.000000,1.000000,0.632021,0.367979,0.000000,5.859805,0.000000,0.300905,0.000000,0.000000,1.732353,0.000000,-6.893063
101.000000,0.190482,0.472250,0.527750,0.876805,0.000000,0.000000,0.029082,0.000000,0.000000,0.002633,0.000000,-0.718038
102.000000,0.144436,0.754214,0.245786,0.222326,0.000000,0.000000,0.000000,0.000000,4.148366,0.000000,0.000000,-4.226257
103.000000,0.082157,0.834676,0.165324,0.000000,0.201762,0.000000,0.000000,0.000000,0.028974,0.001903,0.000000,-0.150481
104.000000,0.974216,0.696549,0.303451,0.989173,0.000000,3.381921,0.000000,0.000000,3.737225,1.622756,0.000000,-8.756858
105.000000,1.000000,0.255386,0.744614,11.096209,0.000000,0.000000,0.169863,3.732390,0.368536,0.591780,0.000000,-14.958778
106.000000,0.126669,0.367436,0.632564,0.000000,0.020713,0.139434,0.000000,0.160959,0.000000,0.000000,0.000000,-0.194437
107.000000,0.173678,0.289594,0.710406,0.000000,0.118903,0.178319,0.000000,0.424294,0.061535,0.247490,0.000000,-0.856863
108.000000,0.663996,0.819718,0.180282,1.218796,0.000000,2.909876,0.209881,0.348495,1.302985,0.467735,0.000000,-5.793772
109.000000,0.558012,0.553688,0.446312,0.652539,0.000000,0.000000,0.073143,0.451444,0.000000,3.688187,0.000000,-4.307302
110.000000,1.000000,0.741886,0.258114,0.000000,0.000000,1.149421,0.000000,0.000000,0.698333,1.471931,0.604433,-2.924118
111.000000,0.106232,0.748584,0.251416,0.000000,0.000000,0.000000,0.000000,0.006020,0.000000,0.000000,0.000000,0.100212
112.000000,0.175593,0.877966,0.122034,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.522034,0.000000,-0.346441
113.000000,0.094512,0.671049,0.328951,0.089906,0.000000,0.182458,0.000000,0.171848,0.102184,0.000000,0.000000,-0.451884
114.000000,0.179119,0.749248,0.250752,0.000000,1.225615,0.000000,0.000000,0.000000,0.000000,0.076336,0.000000,-1.122831
115.000000,0.407057,0.493942,0.506058,0.322064,3.799052,0.465756,0.000000,0.000000,0.000000,0.034457,0.000000,-4.214273
116.000000,1.000000,0.063755,0.936245,0.000000,0.476994,0.000000,0.000000,0.182398,0.580656,2.008667,0.000000,-2.248715
117.000000,0.048273,0.629563,0.370437,0.002254,0.011865,0.000000,0.000000,0.032282,0.000000,0.016339,0.000000,-0.014467
118.000000,0.197829,0.440445,0.559555,0.206441,0.000000,0.060397,0.000000,0.075475,0.973650,0.132942,0.000000,-1.251075
119.000000,0.137255,0.847059,0.152941,0.539216,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.401961
120.000000,0.047412,0.584274,0.415726,0.081812,0.000000,0.000000,0.000000,0.021742,0.001434,0.000000,0.000000,-0.057577
121.000000,0.624465,0.304284,0.695716,1.789152,0.029589,0.629110,0.000000,4.181584,0.000000,0.023441,0.000000,-6.028411
122.000000,0.076984,0.556177,0.443823,0.000000,0.015741,0.026846,0.000000,0.053230,0.000000,0.000000,0.000000,-0.018834
123.000000,0.393283,0.291787,0.708213,0.106807,1.134752,0.000000,0.000000,0.859470,0.000000,1.086491,0.000000,-2.794236
124.000000,0.229401,0.680198,0.319802,0.035514,0.002021,0.000000,0.000000,0.144589,0.000000,0.000000,0.000000,0.047278
125.000000,0.169453,0.225371,0.774629,0.155341,0.000000,0.009130,0.000000,0.226775,0.039235,0.548451,0.000000,-0.809479
126.000000,0.673967,0.775067,0.224933,0.000000,5.826320,0.819537,0.000000,0.230291,0.744450,0.000000,0.000000,-6.946631
127.000000,1.000000,0.591505,0.408495,1.349103,3.016806,0.000000,0.000000,1.493881,0.000000,0.347404,0.000000,-5.207194
128.000000,0.053792,0.436574,0.563426,0.000000,0.000000,0.000000,0.000000,0.255074,0.000000,0.155957,0.000000,-0.357239
129.000000,0.261238,0.375451,0.624549,0.000000,0.322526,1.497727,0.000000,1.337592,0.015216,0.012441,0.000000,-2.924263
130.000000,0.154484,0.581272,0.418728,0.255862,0.109671,0.000000,0.000000,2.244135,0.000000,0.000000,0.000000,-2.455185
131.000000,0.045523,0.455115,0.544885,0.005233,0.007436,0.000000,0.000000,0.037299,0.000000,0.000000,0.000000,-0.004444
132.000000,0.102664,0.353168,0.646832,0.000000,0.000000,0.000000,0.000000,0.189080,0.116930,0.335058,0.000000,-0.538404
133.000000,0.064931,0.455460,0.544540,0.000000,0.021656,0.017150,0.000000,0.040520,0.000000,0.000000,0.000000,-0.014395
134.000000,0.278606,0.766780,0.233220,0.289254,0.201606,0.670018,0.369603,0.000000,0.792850,0.140352,0.000000,-2.185077
135.000000,0.381664,0.782584,0.217416,0.051579,0.000000,0.000000,0.000000,0.000000,4.282457,3.207647,0.000000,-7.160019
136.000000,0.107124,0.778325,0.221675,0.000000,0.126832,0.000000,0.002913,0.000000,0.021633,0.000000,0.000000,-0.044255
137.000000,0.089442,0.567298,0.432702,0.059553,0.079525,0.000000,0.000000,0.062292,0.045806,0.017351,0.000000,-0.175085
138.000000,0.125765,0.429884,0.570116,0.000000,0.000000,0.052632,0.000000,0.177903,0.017991,1.401796,0.000000,-1.524558
139.000000,1.000000,0.642006,0.357994,2.646599,0.317932,0.000000,0.321711,0.440419,1.797976,12.540374,0.000000,-17.065011
140.000000,0.050145,0.616645,0.383355,0.000000,0.002638,0.000000,0.000000,0.030124,0.000000,0.000000,0.000000,0.017382
141.000000,0.092970,0.626325,0.373675,0.000000,0.052952,0.000000,0.000000,0.037329,0.082804,0.193821,0.000000,-0.273935
142.000000,0.071914,0.794824,0.205176,0.000000,0.018265,0.000000,0.000000,0.045083,0.000000,0.017434,0.000000,-0.008867
143.000000,0.225332,0.459361,0.540639,0.373637,0.154676,0.000000,0.000000,2.312497,0.000000,0.000000,0.000000,-2.615479
144.000000,0.225398,0.871554,0.128446,0.000000,0.176277,0.821136,0.000000,0.000000,0.073012,0.000000,0.000000,-0.845028
145.000000,0.149712,0.755840,0.244160,0.000000,0.000000,0.583603,0.138677,0.049456,0.000000,1.003717,0.000000,-1.625742
146.000000,0.670297,0.828973,0.171027,0.000000,0.000000,0.000000,0.560927,0.249443,0.000000,0.864712,0.000000,-1.004786
147.000000,0.065820,0.543851,0.456149,0.000000,0.004444,0.021209,0.000000,0.046361,0.000000,0.000000,0.000000,-0.006195
148.000000,0.498698,0.818855,0.181145,0.121186,4.394759,0.158119,0.019202,0.000000,0.285269,0.000000,0.000000,-4.479837
149.000000,0.116814,0.764928,0.235072,0.000000,0.205718,0.000000,0.000000,0.000000,0.000000,0.063400,0.000000,-0.152304
150.000000,1.000000,0.582433,0.417567,0.000000,7.367992,0.000000,0.000000,0.133595,2.134975,0.900308,0.000000,-9.536870
151.000000,1.000000,0.831937,0.168063,0.000000,0.810396,0.000000,0.189221,26.479160,0.000000,1.084869,0.000000,-27.563647
152.000000,0.442305,0.479055,0.520945,3.102623,0.039865,0.000000,0.000000,0.050887,0.000000,0.000000,0.000000,-2.751071
153.000000,0.239666,0.464945,0.535055,0.000000,0.000000,1.556992,0.000000,0.685276,0.139100,0.104485,0.000000,-2.246187
154.000000,0.102637,0.529378,0.470622,0.000000,0.137021,0.006034,0.031436,0.039721,0.008232,0.117471,0.000000,-0.237278
155.000000,0.367480,0.883881,0.116119,0.398671,0.000000,0.000000,0.000000,0.347758,0.588820,0.000000,0.000000,-0.967770
156.000000,1.000000,0.420697,0.579303,0.248802,0.000000,3.194085,0.000000,3.018052,0.815723,0.703085,0.000000,-6.979748
157.000000,0.235993,0.205626,0.794374,0.000000,0.161546,1.543779,0.000000,0.149820,0.139680,0.000000,0.000000,-1.758833
158.000000,1.000000,0.738241,0.261759,0.460702,8.636094,1.176069,0.000000,1.017951,0.367751,2.358600,0.000000,-13.017166
159.000000,0.224681,0.549253,0.450747,0.000000,0.000000,0.000000,0.000000,0.171136,0.837481,0.794668,0.000000,-1.578603
160.000000,0.060925,0.733369,0.266631,0.000000,0.033673,0.000000,0.000000,0.021737,0.000000,0.030743,0.000000,-0.025228
161.000000,0.274196,0.840476,0.159524,0.000000,0.204512,0.843168,0.000000,0.000000,0.105601,0.000000,0.000000,-0.879086
162.000000,1.000000,0.208127,0.791873,0.671830,0.000000,0.000000,0.201900,0.000000,3.175566,2.338383,0.000000,-5.387678
163.000000,0.089787,0.679882,0.320118,0.000000,0.029185,0.000000,0.000000,0.010880,0.000000,0.000000,0.000000,0.049723
164.000000,0.059094,0.874532,0.125468,0.005301,0.040971,0.000000,0.000000,0.004518,0.000000,0.000000,0.000000,0.008304
165.000000,0.171547,0.459569,0.540431,0.139033,0.000000,0.178754,0.000000,0.281702,0.000000,0.000000,0.000000,-0.427941
166.000000,0.216595,0.439655,0.560345,0.000000,0.000000,0.000000,0.000000,0.357759,0.000000,0.000000,0.000000,-0.141164
167.000000,0.276205,0.842950,0.157050,0.221881,0.000000,0.296228,0.000000,0.000000,3.906456,0.000000,0.000000,-4.148360
168.000000,0.465430,0.634962,0.365038,0.819995,0.000000,1.667243,0.251511,0.000000,2.397085,0.331000,0.000000,-5.001404
169.000000,0.290654,0.715808,0.284192,0.000000,0.815350,0.000000,0.050504,0.059728,0.106624,0.345087,0.000000,-1.086638
170.000000,0.104788,0.807940,0.192060,0.025984,0.000000,0.000000,0.000000,0.044841,0.000000,0.000000,0.000000,0.033963
171.000000,0.047672,0.540630,0.459370,0.002237,0.000000,0.205690,0.000000,0.020701,0.007026,0.042299,0.000000,-0.230280
172.000000,0.046725,0.566740,0.433260,0.186040,0.000000,0.000000,0.000000,0.020719,0.000000,0.019202,0.000000,-0.179235
